"","Tickers","Market_cap"
"1","META",1252650198833.1
"2","GOOGL",1933207170000
"3","NFLX",265848540047.04
"4","GOOG",107445893964.5
"5","TTWO",25587961650
"6","COST",319872850924.64
"7","WMT",483482920440
"8","PG",377848120851.32
"9","KO",261603048520.64
"10","PM",141956631229.68
"11","AMZN",1879804392232.27
"12","TSLA",558038976516.3
"13","HD",457832009195.21
"14","MCD",202333267967.36
"15","BKNG",121951953129.49
"16","XOM",464198105475.93
"17","CVX",299818455723.96
"18","COP",151380228794.24
"19","WMB",47360178428.42
"20","EOG",75261042910.72
"21","BRK.B",906166168017
"22","JPM",573021105812.12
"23","V",563682458609.28
"24","MA",446295293600
"25","BAC",296056770627.52
"26","LLY",839523231871.1
"27","UNH",451471133177.3
"28","JNJ",433996655760.64
"29","ABBV",320062148647.08
"30","ABT",194496806954.01
"31","GE",201568801440
"32","RTX",129986072324.16
"33","UBER",159029986353.6
"34","CAT",181643487826.06
"35","HON",131747247842.12
"36","LIN",223162537124.8
"37","SHW",93834442236.24
"38","NEM",41996029062.09
"39","ECL",65167936975.45
"40","APD",54112521834.42
"41","AMT",90010639666.08
"42","PLD",118332184932
"43","WELL",52331092647.41
"44","EQIX",75701890272.45
"45","DLR",44317579525.33
"46","AAPL",2625583026430
"47","MSFT",3337318413051.92
"48","NVDA",2.259075e+12
"49","AVGO",625739159471.62
"50","CRM",293192200000
"51","NEE",116985777497.52
"52","SO",65288174017.5
"53","DUK",74114172191.28
"54","CEG",58606192235.22
"55","AEP",44528473907.68
